Sum of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,1,1,0,1,0,3
1,1,0,1,1,1,4
2,0.666666667,0,0.666666667,0.666666667,0.666666667,2.666666667
3,0.5,0,1,0.5,1,3
4,0.4,0,0.8,0.4,1.2,2.8
5,0.333333333,0,0.666666667,0.333333333,1,2.333333333
6,0.285714286,0,0.571428571,0.285714286,0.857142857,2
7,0.25,0,0.75,0.25,0.75,2
8,0.222222222,0,0.888888889,0.222222222,0.666666667,2
9,0.2,0,0.8,0.4,0.8,2.2
10,0.181818182,0,0.727272727,0.363636364,0.909090909,2.181818182
11,0.166666667,0,0.833333333,0.333333333,0.833333333,2.166666667
12,0.153846154,0,0.769230769,0.307692308,0.923076923,2.153846154
13,0.142857143,0,0.857142857,0.285714286,1,2.285714286
14,0.133333333,0,0.8,0.266666667,0.933333333,2.133333333
15,0.125,0,0.75,0.25,1,2.125
16,0.117647059,0,0.823529412,0.352941176,1.058823529,2.352941176
17,0.111111111,0,0.888888889,0.333333333,1,2.333333333
18,0.105263158,0,0.947368421,0.315789474,0.947368421,2.315789474
19,0.1,0,0.9,0.3,1,2.3
20,0.095238095,0,0.857142857,0.285714286,0.952380952,2.19047619
21,0.090909091,0,0.909090909,0.272727273,1,2.272727273
22,0.086956522,0,0.869565217,0.260869565,0.956521739,2.173913043
23,0.083333333,0,0.916666667,0.25,1,2.25
24,0.08,0,0.88,0.24,0.96,2.16
25,0.076923077,0,0.846153846,0.230769231,1,2.153846154
26,0.074074074,0,0.888888889,0.222222222,0.962962963,2.148148148
27,0.071428571,0,0.928571429,0.214285714,0.928571429,2.142857143
28,0.068965517,0,0.965517241,0.206896552,0.965517241,2.206896552
29,0.066666667,0,0.933333333,0.2,0.933333333,2.133333333
30,0.064516129,0,0.903225806,0.193548387,0.967741935,2.129032258
31,0.0625,0,0.875,0.1875,1,2.125
32,0.060606061,0,0.848484848,0.181818182,1.03030303,2.121212121
33,0.058823529,0,0.882352941,0.176470588,1.058823529,2.176470588
34,0.057142857,0,0.857142857,0.171428571,1.028571429,2.114285714
35,0.055555556,0,0.833333333,0.166666667,1,2.055555556
36,0.054054054,0,0.810810811,0.162162162,1.027027027,2.054054054
37,0.052631579,0,0.789473684,0.157894737,1,2
38,0.051282051,0,0.769230769,0.153846154,1.025641026,2
39,0.05,0,0.75,0.15,1,1.95
40,0.048780488,0,0.731707317,0.146341463,0.975609756,1.902439024
41,0.047619048,0,0.714285714,0.142857143,0.952380952,1.857142857
42,0.046511628,0,0.744186047,0.139534884,0.930232558,1.860465116
43,0.045454545,0,0.772727273,0.136363636,0.909090909,1.863636364
