Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,1,1,0,1,1,0.8
1,1,0,1,1,1,0.8
2,0.666666667,0,0.666666667,0.666666667,1.333333333,0.666666667
3,0.5,0,0.5,0.5,1.5,0.6
4,0.4,0,0.8,0.4,1.2,0.56
5,0.333333333,0,1,0.333333333,1.333333333,0.6
6,0.285714286,0,0.857142857,0.285714286,1.428571429,0.571428571
7,0.25,0,1,0.25,1.5,0.6
8,0.222222222,0,0.888888889,0.222222222,1.333333333,0.533333333
9,0.2,0,0.8,0.2,1.2,0.48
10,0.181818182,0,0.909090909,0.181818182,1.090909091,0.472727273
11,0.166666667,0,1,0.166666667,1,0.466666667
12,0.153846154,0,1.076923077,0.153846154,1.076923077,0.492307692
13,0.142857143,0,1.142857143,0.142857143,1,0.485714286
14,0.133333333,0,1.2,0.133333333,0.933333333,0.48
15,0.125,0,1.125,0.125,1,0.475
16,0.117647059,0,1.058823529,0.117647059,0.941176471,0.447058824
17,0.111111111,0,1,0.222222222,1,0.466666667
18,0.105263158,0,1.052631579,0.210526316,1.052631579,0.484210526
19,0.1,0,1.1,0.2,1.1,0.5
20,0.095238095,0,1.047619048,0.19047619,1.047619048,0.476190476
21,0.090909091,0,1,0.181818182,1,0.454545455
22,0.086956522,0,0.956521739,0.173913043,1.043478261,0.452173913
23,0.083333333,0,0.916666667,0.166666667,1,0.433333333
24,0.08,0,0.88,0.16,1.04,0.432
25,0.076923077,0,0.923076923,0.153846154,1.076923077,0.446153846
26,0.074074074,0,0.962962963,0.148148148,1.037037037,0.444444444
27,0.071428571,0,0.928571429,0.214285714,1,0.442857143
28,0.068965517,0,0.896551724,0.206896552,1.034482759,0.44137931
29,0.066666667,0,0.933333333,0.2,1,0.44
30,0.064516129,0,0.967741935,0.193548387,1.032258065,0.451612903
31,0.0625,0,0.9375,0.1875,1,0.4375
32,0.060606061,0,0.909090909,0.242424242,1.03030303,0.448484848
33,0.058823529,0,0.882352941,0.235294118,1.058823529,0.447058824
34,0.057142857,0,0.857142857,0.228571429,1.028571429,0.434285714
35,0.055555556,0,0.833333333,0.222222222,1,0.422222222
36,0.054054054,0,0.810810811,0.216216216,0.972972973,0.410810811
37,0.052631579,0,0.789473684,0.210526316,1,0.410526316
38,0.051282051,0,0.769230769,0.205128205,0.974358974,0.4
39,0.05,0,0.8,0.2,0.95,0.4
40,0.048780488,0,0.829268293,0.195121951,0.926829268,0.4
41,0.047619048,0,0.857142857,0.19047619,0.904761905,0.4
42,0.046511628,0,0.88372093,0.186046512,0.88372093,0.4
43,0.045454545,0,0.863636364,0.181818182,0.863636364,0.390909091
44,0.044444444,0,0.888888889,0.177777778,0.844444444,0.391111111
45,0.043478261,0,0.913043478,0.173913043,0.826086957,0.391304348
46,0.042553191,0,0.936170213,0.170212766,0.808510638,0.391489362
47,0.041666667,0,0.958333333,0.166666667,0.791666667,0.391666667
48,0.040816327,0,0.979591837,0.163265306,0.775510204,0.391836735
49,0.04,0,0.96,0.16,0.76,0.384
50,0.039215686,0,0.941176471,0.156862745,0.745098039,0.376470588
51,0.038461538,0,0.923076923,0.153846154,0.769230769,0.376923077
52,0.037735849,0,0.905660377,0.188679245,0.754716981,0.377358491
53,0.037037037,0,0.888888889,0.185185185,0.740740741,0.37037037
54,0.036363636,0,0.872727273,0.181818182,0.727272727,0.363636364
55,0.035714286,0,0.857142857,0.178571429,0.75,0.364285714
56,0.035087719,0,0.842105263,0.175438596,0.771929825,0.364912281
57,0.034482759,0,0.827586207,0.172413793,0.75862069,0.35862069
58,0.033898305,0,0.813559322,0.169491525,0.745762712,0.352542373
59,0.033333333,0,0.8,0.166666667,0.766666667,0.353333333
60,0.032786885,0,0.786885246,0.163934426,0.786885246,0.354098361
61,0.032258065,0,0.774193548,0.161290323,0.774193548,0.348387097
62,0.031746032,0,0.761904762,0.158730159,0.761904762,0.342857143
63,0.03125,0,0.75,0.15625,0.75,0.3375
64,0.030769231,0,0.738461538,0.153846154,0.738461538,0.332307692
65,0.03030303,0,0.727272727,0.151515152,0.727272727,0.327272727
66,0.029850746,0,0.71641791,0.149253731,0.746268657,0.328358209
67,0.029411765,0,0.705882353,0.147058824,0.735294118,0.323529412
68,0.028985507,0,0.695652174,0.144927536,0.724637681,0.31884058
69,0.028571429,0,0.685714286,0.142857143,0.714285714,0.314285714
70,0.028169014,0,0.676056338,0.14084507,0.732394366,0.315492958
71,0.027777778,0,0.666666667,0.138888889,0.722222222,0.311111111
72,0.02739726,0,0.657534247,0.136986301,0.739726027,0.312328767
73,0.027027027,0,0.648648649,0.135135135,0.72972973,0.308108108
74,0.026666667,0,0.64,0.133333333,0.72,0.304
75,0.026315789,0,0.631578947,0.131578947,0.710526316,0.3
76,0.025974026,0,0.623376623,0.12987013,0.701298701,0.296103896
77,0.025641026,0,0.615384615,0.128205128,0.692307692,0.292307692
78,0.025316456,0,0.607594937,0.126582278,0.683544304,0.288607595
79,0.025,0,0.6,0.125,0.675,0.285
80,0.024691358,0,0.592592593,0.12345679,0.691358025,0.286419753
81,0.024390244,0,0.585365854,0.12195122,0.682926829,0.282926829
82,0.024096386,0,0.578313253,0.120481928,0.674698795,0.279518072
83,0.023809524,0,0.571428571,0.119047619,0.666666667,0.276190476
84,0.023529412,0,0.564705882,0.117647059,0.658823529,0.272941176
85,0.023255814,0,0.558139535,0.11627907,0.651162791,0.269767442
86,0.022988506,0,0.551724138,0.114942529,0.643678161,0.266666667
87,0.022727273,0,0.545454545,0.113636364,0.659090909,0.268181818
88,0.02247191,0,0.539325843,0.112359551,0.651685393,0.265168539
89,0.022222222,0,0.533333333,0.111111111,0.644444444,0.262222222
90,0.021978022,0,0.527472527,0.10989011,0.637362637,0.259340659
91,0.02173913,0,0.52173913,0.108695652,0.630434783,0.256521739
92,0.021505376,0,0.516129032,0.129032258,0.623655914,0.258064516
93,0.021276596,0,0.510638298,0.127659574,0.617021277,0.255319149
94,0.021052632,0,0.505263158,0.147368421,0.610526316,0.256842105
95,0.020833333,0,0.5,0.145833333,0.604166667,0.254166667
96,0.020618557,0,0.494845361,0.144329897,0.597938144,0.251546392
97,0.020408163,0,0.489795918,0.142857143,0.591836735,0.248979592
98,0.02020202,0,0.484848485,0.141414141,0.585858586,0.246464646
99,0.02,0,0.48,0.14,0.6,0.248
100,0.01980198,0,0.475247525,0.138613861,0.594059406,0.245544554
101,0.019607843,0,0.470588235,0.137254902,0.588235294,0.243137255
102,0.019417476,0,0.466019417,0.13592233,0.582524272,0.240776699
103,0.019230769,0,0.461538462,0.134615385,0.596153846,0.242307692
104,0.019047619,0,0.457142857,0.133333333,0.59047619,0.24
105,0.018867925,0,0.452830189,0.132075472,0.58490566,0.237735849
106,0.018691589,0,0.448598131,0.130841121,0.579439252,0.235514019
107,0.018518519,0,0.444444444,0.12962963,0.574074074,0.233333333
108,0.018348624,0,0.440366972,0.128440367,0.568807339,0.231192661
109,0.018181818,0,0.436363636,0.127272727,0.563636364,0.229090909
110,0.018018018,0,0.432432432,0.126126126,0.558558559,0.227027027
111,0.017857143,0,0.428571429,0.125,0.553571429,0.225
112,0.017699115,0,0.424778761,0.123893805,0.566371681,0.226548673
113,0.01754386,0,0.421052632,0.122807018,0.561403509,0.224561404
114,0.017391304,0,0.417391304,0.12173913,0.556521739,0.222608696
115,0.017241379,0,0.413793103,0.120689655,0.551724138,0.220689655
116,0.017094017,0,0.41025641,0.11965812,0.564102564,0.222222222
117,0.016949153,0,0.406779661,0.118644068,0.559322034,0.220338983
118,0.016806723,0,0.403361345,0.117647059,0.554621849,0.218487395
119,0.016666667,0,0.4,0.116666667,0.55,0.216666667
120,0.016528926,0,0.396694215,0.115702479,0.545454545,0.214876033
121,0.016393443,0,0.393442623,0.114754098,0.540983607,0.213114754
122,0.016260163,0,0.390243902,0.113821138,0.536585366,0.211382114
123,0.016129032,0,0.387096774,0.112903226,0.532258065,0.209677419
124,0.016,0,0.384,0.112,0.528,0.208
125,0.015873016,0,0.380952381,0.111111111,0.523809524,0.206349206
126,0.015748031,0,0.377952756,0.11023622,0.519685039,0.204724409
127,0.015625,0,0.375,0.109375,0.515625,0.203125
128,0.015503876,0,0.372093023,0.108527132,0.511627907,0.201550388
129,0.015384615,0,0.369230769,0.107692308,0.507692308,0.2
130,0.015267176,0,0.366412214,0.106870229,0.503816794,0.198473282
131,0.015151515,0,0.363636364,0.106060606,0.5,0.196969697
132,0.015037594,0,0.360902256,0.105263158,0.496240602,0.195488722
133,0.014925373,0,0.358208955,0.104477612,0.492537313,0.194029851
134,0.014814815,0,0.355555556,0.103703704,0.488888889,0.192592593
135,0.014705882,0,0.352941176,0.117647059,0.485294118,0.194117647
136,0.01459854,0,0.350364964,0.116788321,0.481751825,0.19270073
137,0.014492754,0,0.347826087,0.115942029,0.47826087,0.191304348
138,0.014388489,0,0.345323741,0.115107914,0.474820144,0.189928058
139,0.014285714,0,0.342857143,0.114285714,0.471428571,0.188571429
140,0.014184397,0,0.340425532,0.113475177,0.468085106,0.187234043
141,0.014084507,0,0.338028169,0.112676056,0.464788732,0.185915493
142,0.013986014,0,0.335664336,0.111888112,0.461538462,0.184615385
143,0.013888889,0,0.333333333,0.111111111,0.458333333,0.183333333
144,0.013793103,0,0.331034483,0.110344828,0.455172414,0.182068966
145,0.01369863,0,0.328767123,0.109589041,0.452054795,0.180821918
146,0.013605442,0,0.326530612,0.108843537,0.462585034,0.182312925
147,0.013513514,0,0.324324324,0.108108108,0.459459459,0.181081081
148,0.013422819,0,0.322147651,0.10738255,0.456375839,0.179865772
149,0.013333333,0,0.32,0.106666667,0.453333333,0.178666667
150,0.013245033,0,0.317880795,0.105960265,0.450331126,0.177483444
151,0.013157895,0,0.315789474,0.105263158,0.447368421,0.176315789
152,0.013071895,0,0.31372549,0.104575163,0.444444444,0.175163399
153,0.012987013,0,0.311688312,0.103896104,0.441558442,0.174025974
154,0.012903226,0,0.309677419,0.103225806,0.438709677,0.172903226
155,0.012820513,0,0.307692308,0.115384615,0.435897436,0.174358974
156,0.012738854,0,0.305732484,0.114649682,0.433121019,0.173248408
157,0.012658228,0,0.303797468,0.113924051,0.430379747,0.172151899
158,0.012578616,0,0.301886792,0.113207547,0.427672956,0.171069182
159,0.0125,0,0.3,0.1125,0.425,0.17
160,0.01242236,0,0.298136646,0.111801242,0.422360248,0.168944099
161,0.012345679,0,0.296296296,0.111111111,0.419753086,0.167901235
162,0.012269939,0,0.294478528,0.110429448,0.417177914,0.166871166
163,0.012195122,0,0.292682927,0.109756098,0.414634146,0.165853659
164,0.012121212,0,0.290909091,0.109090909,0.412121212,0.164848485
165,0.012048193,0,0.289156627,0.108433735,0.409638554,0.163855422
166,0.011976048,0,0.28742515,0.107784431,0.407185629,0.162874251
167,0.011904762,0,0.285714286,0.107142857,0.404761905,0.161904762
168,0.01183432,0,0.284023669,0.106508876,0.402366864,0.160946746
169,0.011764706,0,0.282352941,0.105882353,0.4,0.16
170,0.011695906,0,0.280701754,0.105263158,0.397660819,0.159064327
171,0.011627907,0,0.279069767,0.104651163,0.395348837,0.158139535
172,0.011560694,0,0.277456647,0.104046243,0.393063584,0.157225434
173,0.011494253,0,0.275862069,0.103448276,0.390804598,0.156321839
174,0.011428571,0,0.274285714,0.102857143,0.388571429,0.155428571
175,0.011363636,0,0.272727273,0.102272727,0.386363636,0.154545455
176,0.011299435,0,0.271186441,0.101694915,0.384180791,0.153672316
177,0.011235955,0,0.269662921,0.101123596,0.382022472,0.152808989
178,0.011173184,0,0.268156425,0.100558659,0.379888268,0.151955307
179,0.011111111,0,0.266666667,0.111111111,0.377777778,0.153333333
180,0.011049724,0,0.26519337,0.110497238,0.375690608,0.152486188
181,0.010989011,0,0.263736264,0.10989011,0.373626374,0.151648352
182,0.010928962,0,0.262295082,0.109289617,0.371584699,0.150819672
183,0.010869565,0,0.260869565,0.108695652,0.369565217,0.15
184,0.010810811,0,0.259459459,0.108108108,0.367567568,0.149189189
185,0.010752688,0,0.258064516,0.107526882,0.365591398,0.148387097
186,0.010695187,0,0.256684492,0.106951872,0.363636364,0.147593583
187,0.010638298,0,0.255319149,0.106382979,0.361702128,0.146808511
188,0.010582011,0,0.253968254,0.105820106,0.35978836,0.146031746
189,0.010526316,0,0.252631579,0.105263158,0.357894737,0.145263158
190,0.010471204,0,0.251308901,0.104712042,0.356020942,0.144502618
191,0.010416667,0,0.25,0.104166667,0.354166667,0.14375
192,0.010362694,0,0.248704663,0.103626943,0.352331606,0.143005181
193,0.010309278,0,0.24742268,0.103092784,0.350515464,0.142268041
194,0.01025641,0,0.246153846,0.102564103,0.348717949,0.141538462
195,0.010204082,0,0.244897959,0.102040816,0.346938776,0.140816327
196,0.010152284,0,0.243654822,0.101522843,0.345177665,0.140101523
197,0.01010101,0,0.242424242,0.101010101,0.343434343,0.139393939
198,0.010050251,0,0.24120603,0.100502513,0.341708543,0.138693467
199,0.01,0,0.24,0.1,0.34,0.138
200,0.009950249,0,0.23880597,0.099502488,0.338308458,0.137313433
201,0.00990099,0,0.237623762,0.099009901,0.336633663,0.136633663
202,0.009852217,0,0.236453202,0.108374384,0.334975369,0.137931034
203,0.009803922,0,0.235294118,0.107843137,0.333333333,0.137254902
204,0.009756098,0,0.234146341,0.107317073,0.331707317,0.136585366
205,0.009708738,0,0.233009709,0.106796117,0.339805825,0.137864078
206,0.009661836,0,0.231884058,0.106280193,0.338164251,0.137198068
207,0.009615385,0,0.230769231,0.105769231,0.336538462,0.136538462
208,0.009569378,0,0.229665072,0.105263158,0.33492823,0.135885167
209,0.00952381,0,0.228571429,0.104761905,0.333333333,0.135238095
210,0.009478673,0,0.227488152,0.104265403,0.331753555,0.134597156
211,0.009433962,0,0.226415094,0.103773585,0.330188679,0.133962264
212,0.009389671,0,0.225352113,0.103286385,0.328638498,0.133333333
213,0.009345794,0,0.224299065,0.102803738,0.327102804,0.13271028
214,0.009302326,0,0.223255814,0.102325581,0.325581395,0.132093023
215,0.009259259,0,0.222222222,0.101851852,0.324074074,0.131481481
216,0.00921659,0,0.221198157,0.101382488,0.322580645,0.130875576
217,0.009174312,0,0.220183486,0.100917431,0.321100917,0.130275229
218,0.00913242,0,0.219178082,0.100456621,0.319634703,0.129680365
219,0.009090909,0,0.218181818,0.1,0.318181818,0.129090909
220,0.009049774,0,0.21719457,0.099547511,0.316742081,0.128506787
221,0.009009009,0,0.216216216,0.099099099,0.315315315,0.127927928
222,0.00896861,0,0.215246637,0.098654709,0.313901345,0.12735426
223,0.008928571,0,0.214285714,0.098214286,0.3125,0.126785714
224,0.008888889,0,0.213333333,0.097777778,0.311111111,0.126222222
225,0.008849558,0,0.212389381,0.097345133,0.309734513,0.125663717
226,0.008810573,0,0.211453744,0.0969163,0.308370044,0.125110132
227,0.00877193,0,0.210526316,0.096491228,0.307017544,0.124561404
228,0.008733624,0,0.209606987,0.096069869,0.305676856,0.124017467
229,0.008695652,0,0.208695652,0.095652174,0.304347826,0.123478261
230,0.008658009,0,0.207792208,0.095238095,0.303030303,0.122943723
231,0.00862069,0,0.206896552,0.094827586,0.301724138,0.122413793
232,0.008583691,0,0.206008584,0.094420601,0.300429185,0.121888412
233,0.008547009,0,0.205128205,0.094017094,0.299145299,0.121367521
234,0.008510638,0,0.204255319,0.093617021,0.29787234,0.120851064
235,0.008474576,0,0.203389831,0.093220339,0.296610169,0.120338983
236,0.008438819,0,0.202531646,0.092827004,0.29535865,0.119831224
237,0.008403361,0,0.201680672,0.092436975,0.294117647,0.119327731
238,0.008368201,0,0.20083682,0.092050209,0.292887029,0.118828452
239,0.008333333,0,0.2,0.091666667,0.291666667,0.118333333
240,0.008298755,0,0.199170124,0.091286307,0.290456432,0.117842324
241,0.008264463,0,0.198347107,0.090909091,0.289256198,0.117355372
