Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,0,0,0,0,0,0
1,0.1,0.1,0.1,0,0.1,0.08
2,0.2,0.066666667,0.066666667,0,0.133333333,0.093333333
3,0.1,0.1,0.05,0,0.1,0.07
4,0.24,0.08,0.04,0,0.08,0.088
5,0.166666667,0.066666667,0.033333333,0,0.033333333,0.06
6,0.114285714,0.171428571,0.142857143,0,0.142857143,0.114285714
7,0.2,0.15,0.225,0,0.1,0.135
8,0.155555556,0.222222222,0.2,0,0.066666667,0.128888889
9,0.12,0.2,0.26,0,0.06,0.128
10,0.181818182,0.254545455,0.218181818,0,0.054545455,0.141818182
11,0.15,0.233333333,0.2,0,0.116666667,0.14
12,0.2,0.2,0.184615385,0,0.107692308,0.138461538
13,0.242857143,0.185714286,0.171428571,0,0.1,0.14
14,0.213333333,0.16,0.16,0,0.093333333,0.125333333
15,0.1875,0.15,0.2,0.1875,0.1375,0.1725
16,0.223529412,0.188235294,0.188235294,0.176470588,0.176470588,0.190588235
17,0.255555556,0.177777778,0.166666667,0.166666667,0.166666667,0.186666667
18,0.284210526,0.210526316,0.2,0.157894737,0.147368421,0.2
19,0.26,0.2,0.18,0.15,0.13,0.184
20,0.238095238,0.180952381,0.171428571,0.142857143,0.114285714,0.16952381
21,0.263636364,0.172727273,0.2,0.136363636,0.145454545,0.183636364
22,0.243478261,0.2,0.182608696,0.130434783,0.130434783,0.177391304
23,0.266666667,0.191666667,0.166666667,0.125,0.125,0.175
24,0.288,0.216,0.16,0.12,0.12,0.1808
25,0.307692308,0.207692308,0.153846154,0.115384615,0.115384615,0.18
26,0.288888889,0.22962963,0.140740741,0.111111111,0.111111111,0.176296296
27,0.307142857,0.221428571,0.135714286,0.107142857,0.107142857,0.175714286
28,0.289655172,0.206896552,0.15862069,0.103448276,0.096551724,0.171034483
29,0.273333333,0.2,0.153333333,0.1,0.093333333,0.164
30,0.258064516,0.187096774,0.174193548,0.096774194,0.116129032,0.166451613
31,0.24375,0.18125,0.1625,0.09375,0.1125,0.15875
32,0.260606061,0.2,0.151515152,0.115151515,0.109090909,0.167272727
33,0.247058824,0.194117647,0.170588235,0.111764706,0.1,0.164705882
34,0.234285714,0.182857143,0.188571429,0.108571429,0.097142857,0.162285714
35,0.222222222,0.177777778,0.205555556,0.105555556,0.094444444,0.161111111
36,0.237837838,0.167567568,0.221621622,0.102702703,0.086486486,0.163243243
37,0.226315789,0.163157895,0.210526316,0.1,0.078947368,0.155789474
38,0.215384615,0.153846154,0.2,0.097435897,0.071794872,0.147692308
39,0.205,0.15,0.195,0.095,0.07,0.143
40,0.195121951,0.165853659,0.190243902,0.092682927,0.068292683,0.142439024
41,0.20952381,0.161904762,0.180952381,0.09047619,0.085714286,0.145714286
42,0.223255814,0.176744186,0.176744186,0.088372093,0.08372093,0.149767442
43,0.236363636,0.172727273,0.172727273,0.086363636,0.1,0.153636364
44,0.248888889,0.186666667,0.164444444,0.084444444,0.115555556,0.16
45,0.260869565,0.182608696,0.160869565,0.082608696,0.113043478,0.16
46,0.25106383,0.174468085,0.157446809,0.080851064,0.110638298,0.154893617
47,0.241666667,0.170833333,0.154166667,0.079166667,0.108333333,0.150833333
48,0.232653061,0.183673469,0.151020408,0.073469388,0.102040816,0.148571429
49,0.224,0.18,0.148,0.072,0.116,0.148
50,0.215686275,0.17254902,0.145098039,0.070588235,0.129411765,0.146666667
51,0.226923077,0.169230769,0.142307692,0.069230769,0.123076923,0.146153846
52,0.237735849,0.162264151,0.139622642,0.067924528,0.135849057,0.148679245
53,0.22962963,0.159259259,0.137037037,0.066666667,0.148148148,0.148148148
54,0.24,0.152727273,0.134545455,0.065454545,0.145454545,0.147636364
55,0.232142857,0.15,0.132142857,0.064285714,0.142857143,0.144285714
56,0.224561404,0.143859649,0.129824561,0.063157895,0.140350877,0.140350877
57,0.217241379,0.14137931,0.127586207,0.062068966,0.151724138,0.14
58,0.210169492,0.13559322,0.125423729,0.061016949,0.162711864,0.138983051
59,0.203333333,0.133333333,0.123333333,0.06,0.173333333,0.138666667
60,0.196721311,0.144262295,0.121311475,0.059016393,0.170491803,0.138360656
61,0.206451613,0.141935484,0.119354839,0.058064516,0.167741935,0.138709677
62,0.2,0.136507937,0.117460317,0.057142857,0.165079365,0.135238095
63,0.209375,0.134375,0.115625,0.05625,0.159375,0.135
64,0.218461538,0.129230769,0.113846154,0.055384615,0.156923077,0.134769231
65,0.212121212,0.127272727,0.112121212,0.054545455,0.154545455,0.132121212
66,0.205970149,0.137313433,0.110447761,0.053731343,0.149253731,0.131343284
67,0.2,0.135294118,0.108823529,0.052941176,0.158823529,0.131176471
68,0.208695652,0.144927536,0.107246377,0.052173913,0.156521739,0.133913043
69,0.202857143,0.142857143,0.105714286,0.051428571,0.154285714,0.131428571
70,0.197183099,0.152112676,0.104225352,0.050704225,0.163380282,0.133521127
71,0.191666667,0.15,0.102777778,0.05,0.158333333,0.130555556
72,0.18630137,0.145205479,0.101369863,0.049315068,0.156164384,0.127671233
73,0.181081081,0.143243243,0.1,0.048648649,0.154054054,0.125405405
74,0.176,0.152,0.098666667,0.048,0.152,0.125333333
75,0.184210526,0.15,0.097368421,0.047368421,0.160526316,0.127894737
76,0.179220779,0.145454545,0.096103896,0.046753247,0.168831169,0.127272727
77,0.187179487,0.143589744,0.094871795,0.046153846,0.166666667,0.127692308
78,0.182278481,0.139240506,0.093670886,0.04556962,0.162025316,0.124556962
79,0.19,0.1375,0.0925,0.045,0.1575,0.1245
80,0.185185185,0.145679012,0.091358025,0.044444444,0.155555556,0.124444444
81,0.192682927,0.143902439,0.090243902,0.043902439,0.151219512,0.124390244
82,0.187951807,0.151807229,0.089156627,0.043373494,0.14939759,0.124337349
83,0.195238095,0.15,0.088095238,0.042857143,0.147619048,0.124761905
84,0.190588235,0.145882353,0.087058824,0.042352941,0.145882353,0.122352941
85,0.186046512,0.144186047,0.086046512,0.041860465,0.153488372,0.122325581
86,0.193103448,0.140229885,0.085057471,0.04137931,0.149425287,0.12183908
87,0.188636364,0.138636364,0.084090909,0.040909091,0.147727273,0.12
88,0.195505618,0.134831461,0.083146067,0.040449438,0.143820225,0.119550562
89,0.191111111,0.133333333,0.082222222,0.04,0.142222222,0.117777778
90,0.197802198,0.12967033,0.081318681,0.03956044,0.149450549,0.11956044
91,0.204347826,0.12826087,0.080434783,0.039130435,0.156521739,0.12173913
92,0.210752688,0.124731183,0.079569892,0.038709677,0.15483871,0.12172043
93,0.217021277,0.123404255,0.078723404,0.038297872,0.161702128,0.123829787
94,0.212631579,0.130526316,0.077894737,0.046315789,0.16,0.125473684
95,0.208333333,0.129166667,0.077083333,0.045833333,0.15625,0.123333333
96,0.21443299,0.136082474,0.07628866,0.045360825,0.162886598,0.127010309
97,0.220408163,0.134693878,0.075510204,0.044897959,0.16122449,0.127346939
98,0.216161616,0.141414141,0.074747475,0.044444444,0.157575758,0.126868687
99,0.222,0.14,0.074,0.044,0.156,0.1272
100,0.217821782,0.146534653,0.073267327,0.043564356,0.154455446,0.127128713
101,0.223529412,0.145098039,0.07254902,0.043137255,0.152941176,0.12745098
102,0.219417476,0.151456311,0.07184466,0.042718447,0.151456311,0.127378641
103,0.215384615,0.15,0.071153846,0.042307692,0.15,0.125769231
104,0.211428571,0.156190476,0.07047619,0.041904762,0.148571429,0.125714286
105,0.216981132,0.154716981,0.069811321,0.041509434,0.147169811,0.126037736
106,0.213084112,0.151401869,0.069158879,0.041121495,0.145794393,0.12411215
107,0.218518519,0.15,0.068518519,0.040740741,0.144444444,0.124444444
108,0.223853211,0.146788991,0.067889908,0.040366972,0.143119266,0.12440367
109,0.229090909,0.145454545,0.067272727,0.04,0.141818182,0.124727273
110,0.234234234,0.151351351,0.066666667,0.03963964,0.147747748,0.127927928
111,0.230357143,0.15,0.066071429,0.039285714,0.146428571,0.126428571
112,0.226548673,0.146902655,0.065486726,0.038938053,0.145132743,0.12460177
113,0.231578947,0.145614035,0.064912281,0.038596491,0.143859649,0.124912281
114,0.227826087,0.142608696,0.064347826,0.03826087,0.149565217,0.124521739
115,0.224137931,0.14137931,0.063793103,0.036206897,0.148275862,0.122758621
116,0.220512821,0.147008547,0.063247863,0.035897436,0.147008547,0.122735043
117,0.225423729,0.145762712,0.062711864,0.03559322,0.145762712,0.123050847
118,0.221848739,0.142857143,0.062184874,0.035294118,0.144537815,0.121344538
119,0.218333333,0.141666667,0.061666667,0.033333333,0.141666667,0.119333333
120,0.214876033,0.147107438,0.061157025,0.033057851,0.147107438,0.120661157
121,0.21147541,0.145901639,0.060655738,0.032786885,0.145901639,0.119344262
122,0.208130081,0.143089431,0.060162602,0.032520325,0.144715447,0.117723577
123,0.212903226,0.141935484,0.059677419,0.032258065,0.141935484,0.117741935
124,0.2176,0.1472,0.0592,0.032,0.1472,0.12064
125,0.214285714,0.146031746,0.058730159,0.031746032,0.144444444,0.119047619
126,0.218897638,0.143307087,0.058267717,0.031496063,0.149606299,0.120314961
127,0.2234375,0.1421875,0.0578125,0.03125,0.1484375,0.120625
128,0.227906977,0.139534884,0.057364341,0.031007752,0.147286822,0.120620155
129,0.224615385,0.138461538,0.056923077,0.030769231,0.152307692,0.120615385
130,0.229007634,0.135877863,0.05648855,0.030534351,0.151145038,0.120610687
131,0.225757576,0.134848485,0.056060606,0.03030303,0.156060606,0.120606061
132,0.230075188,0.139849624,0.055639098,0.030075188,0.153383459,0.121804511
133,0.234328358,0.13880597,0.055223881,0.029850746,0.158208955,0.123283582
134,0.238518519,0.143703704,0.054814815,0.02962963,0.162962963,0.125925926
135,0.235294118,0.142647059,0.054411765,0.029411765,0.161764706,0.124705882
136,0.239416058,0.140145985,0.054014599,0.02919708,0.166423358,0.125839416
137,0.243478261,0.139130435,0.053623188,0.028985507,0.163768116,0.125797101
138,0.24028777,0.136690647,0.05323741,0.028776978,0.162589928,0.124316547
139,0.244285714,0.135714286,0.052857143,0.028571429,0.161428571,0.124571429
140,0.241134752,0.140425532,0.05248227,0.028368794,0.160283688,0.124539007
141,0.245070423,0.13943662,0.052112676,0.028169014,0.157746479,0.124507042
142,0.241958042,0.137062937,0.051748252,0.027972028,0.156643357,0.123076923
143,0.238888889,0.136111111,0.051388889,0.027777778,0.154166667,0.121666667
144,0.242758621,0.140689655,0.051034483,0.027586207,0.153103448,0.123034483
145,0.239726027,0.139726027,0.050684932,0.02739726,0.157534247,0.123013699
146,0.236734694,0.144217687,0.050340136,0.027210884,0.155102041,0.122721088
147,0.240540541,0.143243243,0.05,0.027027027,0.152702703,0.122702703
148,0.237583893,0.140939597,0.04966443,0.026845638,0.151677852,0.121342282
149,0.241333333,0.14,0.049333333,0.026666667,0.150666667,0.1216
150,0.238410596,0.137748344,0.049006623,0.026490066,0.149668874,0.120264901
