Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,0,0,0,0,0,0
1,0.277931407,1.222409238,1.233244617,0,0.325616787,0.61184041
2,0.797049501,1.440582549,4.851102418,7.40149E-17,0.303135439,1.478373981
3,0.797949145,1.80671919,5.651561295,0,0.656017199,1.782449366
4,0.869859165,3.560918019,5.897452467,1.11022E-17,2.910780566,2.647802043
5,1.253798849,3.390443196,6.022889995,0,3.065269961,2.7464804
6,1.375213052,3.651191689,6.232686215,0.019873186,2.970930834,2.849978995
7,1.370125767,3.826580998,6.13678005,0.765584709,3.083691079,3.03655252
8,1.396767091,3.862597678,5.141545904,4.331115973,3.190385648,3.584482459
9,1.147630258,3.970741227,5.211372281,4.528928251,3.290502051,3.629834814
10,1.22297233,3.780646754,5.398490294,3.823536427,3.375039666,3.520137094
11,1.113254089,3.984419514,5.530815632,3.260441352,3.620374468,3.501861011
12,1.18558792,4.038547737,5.581610538,3.326943815,3.035690512,3.433676104
13,1.281660749,3.976607115,5.82043327,2.852963063,2.907839847,3.367900809
14,1.260305241,4.184843068,5.84642658,2.629570068,2.911085985,3.366446188
15,1.223359493,4.29854545,5.841908985,2.505526503,3.328263695,3.439520825
16,1.204941702,4.444696348,5.975437517,2.637684284,3.314211447,3.51539426
17,1.288350072,4.517523811,6.070995751,2.541281837,3.344815743,3.552593443
18,1.351201843,4.547172694,6.062965517,2.353191196,3.533216942,3.569549638
19,1.341723755,3.97004263,6.140370277,2.252244526,3.497917055,3.440459648
20,1.360616107,4.091087786,6.147481952,2.100594656,3.58025474,3.456007048
21,1.279708486,4.093311678,6.174722763,2.018752232,3.470855207,3.407470073
22,1.240252134,4.05348755,6.310552698,1.878182693,3.569239105,3.410342836
23,1.165461882,4.118608268,6.324287508,1.821979815,3.505178217,3.387103138
24,1.172553162,3.999388705,6.341005496,1.75330022,3.571570326,3.367563582
25,1.207708845,4.007333952,6.350725029,1.658306671,3.644169149,3.373648729
26,1.232816997,4.054377873,6.336371093,1.615425538,3.662456904,3.380289681
27,1.223947565,4.060032153,6.350230834,1.564597279,3.694066687,3.378574904
28,1.297783128,4.10277165,6.407283346,1.514758279,3.529864038,3.370492088
29,1.36700659,3.987139333,5.564562335,1.454729342,3.562481317,3.187183784
30,1.42704313,3.990705426,5.034582312,1.449683458,3.613090605,3.103020986
31,1.422496181,4.079840379,5.067426111,1.410334766,3.63449514,3.122918516
32,1.381670623,4.091302046,4.736050576,1.373879161,3.621023023,3.040785086
33,1.341318742,4.137539895,4.799370737,1.328443716,3.654500873,3.052234793
34,1.36927848,4.005241784,4.863712968,1.287498809,3.56647162,3.018440732
35,1.354969616,4.001504952,4.941949952,1.247925897,3.581174109,3.025504905
36,1.400210068,3.986958229,4.993512446,1.224865888,3.394188594,2.999947045
37,1.417280147,3.981026704,5.022025136,1.197318317,3.41032599,3.005595259
38,1.418463945,4.043938406,4.806281453,1.170006992,3.407104926,2.969159144
39,1.385624206,3.957764491,4.845677165,1.131964674,3.427455246,2.949697156
40,1.365610781,4.0205879,4.866948906,1.104665589,3.474793385,2.966521312
41,1.376151771,4.034786852,4.868603039,1.074524604,3.385835675,2.947980388
42,1.349647996,4.055262759,4.880064869,1.045326539,3.412225258,2.948505484
43,1.318786132,4.067247109,4.888775075,1.021950531,3.451409689,2.949633707
44,1.342030026,4.081004594,4.925391187,1.089003812,3.508313375,2.989148599
45,1.359219091,4.123739331,4.93695979,1.075963781,3.36723808,2.972624015
46,1.32816123,4.194624538,4.928136441,1.052983892,3.389075762,2.978596373
47,1.303342817,4.226217357,4.971928957,1.023834977,3.423486257,2.989762073
48,1.291057506,4.253192017,4.986545314,0.996797501,3.449459983,2.995410464
49,1.287976879,4.145435246,4.984284286,0.969954385,3.456124497,2.968755059
50,1.287780262,4.198155313,4.662693035,1.012900044,3.408742115,2.914054154
51,1.278078349,4.228944845,4.593476328,1.00417671,3.454555314,2.911846309
52,1.288718966,4.25333187,4.594945043,0.9910158,3.352870993,2.896176535
53,1.295341109,4.281356768,4.466358318,0.973514609,3.38145078,2.879604317
54,1.32193409,4.118721771,4.293287717,0.953132097,3.427147437,2.822844622
55,1.335276995,4.14342449,4.236671218,0.931076332,3.436325523,2.816554912
56,1.360814479,4.189976226,4.105487843,0.91259548,3.46607271,2.806989348
57,1.368055962,4.206602729,3.950937836,0.897329553,3.486150907,2.781815397
58,1.371298646,4.227103075,3.828156289,0.963155432,3.518402678,2.781623224
59,1.389235465,4.131547462,3.765581224,0.949769005,3.460690472,2.739364726
60,1.395867971,4.161249738,3.719752306,0.933567359,3.480064857,2.738100446
61,1.394181215,4.192977511,3.613465618,0.960783044,3.487637211,2.72980892
62,1.399174108,4.229644935,3.551896769,0.941923463,3.467521299,2.718032115
63,1.40791732,4.229333108,3.515011193,0.92933562,3.417094736,2.699738396
64,1.422849338,4.089791248,3.412410875,0.917310484,3.437806393,2.656033668
65,1.411271089,4.077737642,3.342184903,0.90141832,3.475422794,2.64160695
66,1.39733364,4.076338872,3.298102331,0.888459306,3.501771877,2.632401205
67,1.377924218,4.095026617,3.302541009,0.874719207,3.48793723,2.627629656
68,1.394290652,4.102381461,3.270109698,0.862170671,3.511639218,2.62811834
69,1.404528622,4.068554334,3.233867387,0.841543795,3.541913056,2.618081439
70,1.427248388,4.062013707,3.19408628,0.83389257,3.435840777,2.590616344
71,1.43064575,4.050557674,3.185076841,0.816250403,3.46842031,2.590190196
72,1.424170697,4.065135069,3.118534195,0.808943221,3.476061554,2.578568947
73,1.457494873,4.052320204,3.069929047,0.795654975,3.402731677,2.555626155
74,1.4311622,3.953653983,3.023820542,0.857385426,3.438376299,2.54087969
75,1.427305019,4.000218033,2.99995875,0.846622854,3.353868239,2.525594579
76,1.437651618,4.02755541,2.960424881,0.839106595,3.268767546,2.50670121
77,1.414041115,4.026256413,2.908926322,0.833117509,3.285240719,2.493516416
78,1.403547567,4.062522005,2.862968185,0.825084108,3.267197385,2.48426385
79,1.392948398,4.036610848,2.825594983,0.814392896,3.216352295,2.457179884
80,1.395407287,4.048149589,2.787380656,0.808525117,3.235710766,2.455034683
81,1.38177419,4.058721635,2.719318196,0.798802395,3.246276414,2.440978566
82,1.39339849,4.064566623,2.694658865,0.79022556,3.17196758,2.422963424
83,1.39334399,4.08065359,2.648721219,0.78486599,3.163898245,2.414296607
84,1.387302949,4.064711203,2.630116088,0.776904865,3.165514234,2.404909868
85,1.387470296,4.0664802,2.614686891,0.766835686,3.177837816,2.402662178
86,1.372267508,4.071835857,2.580467272,0.831477275,3.221272195,2.415464021
87,1.359300326,4.081218618,2.554725943,0.819661003,3.171345282,2.397250235
88,1.359692638,4.078414273,2.524454418,0.810283889,3.18173569,2.390916182
89,1.344587455,4.035378714,2.492095328,0.803072219,3.189753717,2.372977486
90,1.338167814,4.034170413,2.452260954,0.794196823,3.211361662,2.366031533
91,1.3231796,4.052612978,2.41524075,0.786196199,3.173642953,2.350174496
92,1.318824099,4.057557962,2.386605874,0.780777042,3.12635442,2.334023879
93,1.329212375,4.05644498,2.348931063,0.771954971,3.147045019,2.330717681
94,1.333599866,4.025717643,2.311388569,0.767227122,3.170136045,2.321613849
95,1.334712997,4.048289655,2.2838823,0.759530937,3.191094913,2.32350216
96,1.336251941,4.068275426,2.267982547,0.749113645,3.131597308,2.310644173
97,1.319363101,4.057705157,2.246005042,0.74137822,3.1553438,2.303959064
98,1.310915533,4.083748296,2.22849933,0.73792101,3.11092463,2.29440176
99,1.312557025,4.133759552,2.189741487,0.731889966,3.058329245,2.285255455
100,1.320141591,4.152199381,2.177213083,0.730943907,3.028676746,2.281834942
101,1.31372542,4.15717485,2.150914563,0.771399131,2.97283369,2.273209531
102,1.319315489,4.181700066,2.129182276,0.760586362,2.970668575,2.272290554
103,1.32058115,4.198217453,2.116762353,0.751975851,2.998169754,2.277141312
104,1.314363732,4.18010042,2.096433836,0.746266093,2.935127808,2.254458378
105,1.321576988,4.202821854,2.078345385,0.791798535,2.955843665,2.270077285
106,1.299586613,4.233524984,2.072169276,0.785692462,2.928377196,2.263870106
107,1.289630775,4.249908323,2.042702268,0.782038477,2.945349165,2.261925802
108,1.288858544,4.258658588,2.029328346,0.774970413,2.964998961,2.26336297
109,1.281976978,4.182709128,2.01225413,0.765787746,2.940889542,2.236723505
110,1.288218082,4.192527481,1.988850178,0.758483064,2.954299568,2.236475675
111,1.272234858,4.18518843,1.963259536,0.801152956,2.914302819,2.22722772
112,1.253072141,4.188006758,1.946850545,0.843624521,2.890138492,2.224338492
113,1.246765529,4.196534242,1.920228665,0.835941132,2.863275372,2.212548988
114,1.248233346,4.135927053,1.906350645,0.829928217,2.833909725,2.190869797
115,1.236691964,4.141048106,1.889029411,0.86268365,2.841580607,2.194206748
116,1.238092163,4.153703188,1.864248321,0.853856481,2.804020415,2.182784114
117,1.248151043,4.163782247,1.846579676,0.84831654,2.774908285,2.176347558
118,1.258271023,4.169831052,1.824475126,0.84109892,2.789522278,2.17663968
119,1.251675624,4.154097971,1.812059524,0.833477484,2.765180165,2.163298154
120,1.261793134,4.165625821,1.800728834,0.827515899,2.780060558,2.167144849
121,1.264519103,4.178646636,1.784111182,0.822237524,2.805689813,2.171040852
122,1.272255967,4.174090315,1.766965968,0.813758976,2.829518997,2.171318045
123,1.262304763,4.165918765,1.755556147,0.806114246,2.835438905,2.165066565
124,1.269719557,4.110351915,1.740591867,0.798805701,2.829652599,2.149824328
125,1.277212076,4.116241158,1.725917509,0.795278198,2.820842248,2.147098238
126,1.267525998,4.105594625,1.720317772,0.786553564,2.805240252,2.137046442
127,1.272099125,4.113649739,1.708460821,0.781368119,2.771475304,2.129410621
128,1.280149196,4.123750617,1.695970702,0.777840814,2.763913504,2.128324967
129,1.286173876,4.022581325,1.674737044,0.772195696,2.740994071,2.099336402
130,1.279877992,4.026439022,1.663386611,0.76669062,2.737687543,2.094816358
131,1.277700458,4.04259462,1.649041291,0.760592614,2.755739423,2.097133681
132,1.274289548,4.039499274,1.636905182,0.752617734,2.748277414,2.09031783
133,1.272030365,4.048320261,1.624367702,0.74901187,2.766753149,2.092096669
134,1.27094069,3.989957885,1.612283115,0.74168195,2.771815842,2.077335896
135,1.264581937,3.991009006,1.604954359,0.736060219,2.757688882,2.070858881
136,1.272186501,4.01133474,1.584682103,0.731693315,2.749062409,2.069791814
137,1.266613138,4.014470318,1.57356488,0.72507944,2.727161512,2.061377858
138,1.262372226,4.021327325,1.557927395,0.720941726,2.708714841,2.054256703
139,1.266796585,4.020281924,1.549883701,0.716932645,2.690887714,2.048956514
140,1.262525191,4.026206569,1.535135189,0.711451449,2.678066451,2.04267697
141,1.26120391,4.045705391,1.527532025,0.707714182,2.661495379,2.040730177
