Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
0,0,0,0,0,0,0
1,0.5,0.5,0,0,0.5,0.3
2,0.666666667,0.666666667,0.333333333,0,0.333333333,0.4
3,0.75,0.5,0.25,0,0.5,0.4
4,0.8,0.6,0.4,0,0.4,0.44
5,0.833333333,0.5,0.5,0,0.333333333,0.433333333
6,0.857142857,0.571428571,0.571428571,0,0.285714286,0.457142857
7,0.875,0.5,0.625,0,0.25,0.45
8,0.888888889,0.555555556,0.555555556,0,0.333333333,0.466666667
9,0.9,0.5,0.6,0.9,0.3,0.64
10,0.909090909,0.545454545,0.636363636,0.818181818,0.363636364,0.654545455
11,0.916666667,0.5,0.583333333,0.75,0.416666667,0.633333333
12,0.923076923,0.538461538,0.615384615,0.692307692,0.384615385,0.630769231
13,0.928571429,0.5,0.642857143,0.642857143,0.357142857,0.614285714
14,0.933333333,0.533333333,0.6,0.666666667,0.4,0.626666667
15,0.9375,0.5,0.625,0.625,0.375,0.6125
16,0.941176471,0.529411765,0.647058824,0.588235294,0.411764706,0.623529412
17,0.944444444,0.5,0.666666667,0.555555556,0.444444444,0.622222222
18,0.947368421,0.526315789,0.631578947,0.526315789,0.421052632,0.610526316
19,0.95,0.5,0.6,0.5,0.4,0.59
20,0.952380952,0.523809524,0.619047619,0.523809524,0.380952381,0.6
21,0.954545455,0.5,0.636363636,0.5,0.409090909,0.6
22,0.956521739,0.52173913,0.608695652,0.47826087,0.434782609,0.6
23,0.958333333,0.5,0.625,0.458333333,0.458333333,0.6
24,0.96,0.52,0.64,0.44,0.44,0.6
25,0.961538462,0.5,0.653846154,0.423076923,0.423076923,0.592307692
26,0.962962963,0.518518519,0.666666667,0.407407407,0.407407407,0.592592593
27,0.964285714,0.5,0.642857143,0.428571429,0.392857143,0.585714286
28,0.965517241,0.517241379,0.655172414,0.413793103,0.379310345,0.586206897
29,0.966666667,0.5,0.633333333,0.4,0.4,0.58
30,0.967741935,0.516129032,0.612903226,0.387096774,0.419354839,0.580645161
31,0.96875,0.5,0.59375,0.375,0.4375,0.575
32,0.96969697,0.515151515,0.606060606,0.363636364,0.424242424,0.575757576
33,0.970588235,0.5,0.588235294,0.352941176,0.411764706,0.564705882
34,0.971428571,0.514285714,0.571428571,0.342857143,0.4,0.56
35,0.972222222,0.5,0.555555556,0.333333333,0.388888889,0.55
36,0.972972973,0.513513514,0.540540541,0.324324324,0.378378378,0.545945946
37,0.973684211,0.5,0.552631579,0.315789474,0.368421053,0.542105263
38,0.974358974,0.512820513,0.564102564,0.307692308,0.384615385,0.548717949
39,0.975,0.5,0.575,0.3,0.375,0.545
40,0.975609756,0.512195122,0.56097561,0.292682927,0.365853659,0.541463415
41,0.976190476,0.5,0.547619048,0.285714286,0.357142857,0.533333333
42,0.976744186,0.511627907,0.534883721,0.279069767,0.372093023,0.534883721
43,0.977272727,0.5,0.545454545,0.272727273,0.386363636,0.536363636
44,0.977777778,0.511111111,0.555555556,0.266666667,0.4,0.542222222
45,0.97826087,0.5,0.565217391,0.260869565,0.391304348,0.539130435
46,0.978723404,0.510638298,0.553191489,0.255319149,0.382978723,0.536170213
47,0.979166667,0.5,0.541666667,0.25,0.375,0.529166667
48,0.979591837,0.510204082,0.530612245,0.244897959,0.367346939,0.526530612
49,0.98,0.5,0.54,0.24,0.36,0.524
50,0.980392157,0.509803922,0.529411765,0.235294118,0.37254902,0.525490196
51,0.980769231,0.5,0.519230769,0.230769231,0.365384615,0.519230769
52,0.981132075,0.509433962,0.509433962,0.226415094,0.377358491,0.520754717
53,0.981481481,0.5,0.5,0.222222222,0.388888889,0.518518519
54,0.981818182,0.509090909,0.490909091,0.218181818,0.381818182,0.516363636
55,0.982142857,0.5,0.482142857,0.214285714,0.392857143,0.514285714
56,0.98245614,0.50877193,0.473684211,0.210526316,0.403508772,0.515789474
57,0.982758621,0.5,0.465517241,0.206896552,0.413793103,0.513793103
58,0.983050847,0.508474576,0.457627119,0.203389831,0.423728814,0.515254237
59,0.983333333,0.5,0.45,0.2,0.416666667,0.51
60,0.983606557,0.508196721,0.442622951,0.196721311,0.409836066,0.508196721
61,0.983870968,0.5,0.435483871,0.193548387,0.403225806,0.503225806
62,0.984126984,0.507936508,0.428571429,0.19047619,0.412698413,0.504761905
63,0.984375,0.5,0.421875,0.1875,0.40625,0.5
64,0.984615385,0.507692308,0.415384615,0.184615385,0.415384615,0.501538462
65,0.984848485,0.5,0.409090909,0.181818182,0.424242424,0.5
66,0.985074627,0.507462687,0.402985075,0.179104478,0.417910448,0.498507463
67,0.985294118,0.5,0.397058824,0.176470588,0.411764706,0.494117647
68,0.985507246,0.507246377,0.391304348,0.173913043,0.405797101,0.492753623
69,0.985714286,0.5,0.385714286,0.171428571,0.414285714,0.491428571
70,0.985915493,0.507042254,0.38028169,0.169014085,0.408450704,0.490140845
71,0.986111111,0.5,0.375,0.166666667,0.402777778,0.486111111
72,0.98630137,0.506849315,0.369863014,0.164383562,0.397260274,0.484931507
73,0.986486486,0.5,0.364864865,0.175675676,0.391891892,0.483783784
74,0.986666667,0.506666667,0.36,0.173333333,0.386666667,0.482666667
75,0.986842105,0.5,0.355263158,0.171052632,0.394736842,0.481578947
76,0.987012987,0.506493506,0.350649351,0.168831169,0.38961039,0.480519481
77,0.987179487,0.5,0.346153846,0.166666667,0.397435897,0.479487179
78,0.987341772,0.506329114,0.341772152,0.164556962,0.392405063,0.478481013
79,0.9875,0.5,0.3375,0.1625,0.3875,0.475
80,0.987654321,0.50617284,0.333333333,0.160493827,0.382716049,0.474074074
81,0.987804878,0.5,0.329268293,0.158536585,0.37804878,0.470731707
82,0.987951807,0.506024096,0.325301205,0.156626506,0.373493976,0.469879518
83,0.988095238,0.5,0.321428571,0.154761905,0.380952381,0.469047619
84,0.988235294,0.505882353,0.317647059,0.152941176,0.376470588,0.468235294
85,0.988372093,0.5,0.313953488,0.151162791,0.38372093,0.46744186
86,0.988505747,0.505747126,0.310344828,0.149425287,0.379310345,0.466666667
87,0.988636364,0.5,0.306818182,0.147727273,0.386363636,0.465909091
88,0.988764045,0.505617978,0.303370787,0.146067416,0.382022472,0.465168539
89,0.988888889,0.5,0.3,0.144444444,0.377777778,0.462222222
90,0.989010989,0.505494505,0.296703297,0.142857143,0.373626374,0.461538462
91,0.989130435,0.5,0.293478261,0.141304348,0.369565217,0.458695652
92,0.989247312,0.505376344,0.290322581,0.139784946,0.365591398,0.458064516
93,0.989361702,0.5,0.287234043,0.138297872,0.372340426,0.457446809
94,0.989473684,0.505263158,0.284210526,0.136842105,0.368421053,0.456842105
95,0.989583333,0.5,0.28125,0.135416667,0.364583333,0.454166667
96,0.989690722,0.505154639,0.278350515,0.134020619,0.360824742,0.453608247
97,0.989795918,0.5,0.275510204,0.132653061,0.357142857,0.451020408
98,0.98989899,0.505050505,0.272727273,0.131313131,0.353535354,0.450505051
99,0.99,0.5,0.27,0.13,0.36,0.45
100,0.99009901,0.504950495,0.267326733,0.128712871,0.356435644,0.44950495
101,0.990196078,0.5,0.264705882,0.12745098,0.352941176,0.447058824
102,0.990291262,0.504854369,0.262135922,0.126213592,0.349514563,0.446601942
103,0.990384615,0.5,0.259615385,0.125,0.346153846,0.444230769
104,0.99047619,0.504761905,0.257142857,0.123809524,0.342857143,0.443809524
105,0.990566038,0.5,0.254716981,0.122641509,0.339622642,0.441509434
106,0.990654206,0.504672897,0.252336449,0.121495327,0.345794393,0.442990654
107,0.990740741,0.5,0.25,0.12037037,0.342592593,0.440740741
108,0.990825688,0.504587156,0.247706422,0.119266055,0.339449541,0.440366972
109,0.990909091,0.5,0.245454545,0.118181818,0.336363636,0.438181818
110,0.990990991,0.504504505,0.243243243,0.117117117,0.333333333,0.437837838
111,0.991071429,0.5,0.241071429,0.116071429,0.330357143,0.435714286
112,0.991150442,0.504424779,0.238938053,0.115044248,0.327433628,0.43539823
113,0.99122807,0.5,0.236842105,0.114035088,0.324561404,0.433333333
114,0.991304348,0.504347826,0.234782609,0.12173913,0.32173913,0.434782609
115,0.99137931,0.5,0.232758621,0.120689655,0.327586207,0.434482759
116,0.991452991,0.504273504,0.230769231,0.11965812,0.324786325,0.434188034
117,0.991525424,0.5,0.228813559,0.118644068,0.330508475,0.433898305
118,0.991596639,0.504201681,0.226890756,0.117647059,0.327731092,0.433613445
119,0.991666667,0.5,0.225,0.116666667,0.325,0.431666667
120,0.991735537,0.504132231,0.223140496,0.115702479,0.32231405,0.431404959
121,0.991803279,0.5,0.221311475,0.114754098,0.319672131,0.429508197
122,0.991869919,0.504065041,0.219512195,0.113821138,0.317073171,0.429268293
123,0.991935484,0.5,0.217741935,0.112903226,0.314516129,0.427419355
124,0.992,0.504,0.216,0.112,0.312,0.4272
125,0.992063492,0.5,0.214285714,0.111111111,0.30952381,0.425396825
126,0.992125984,0.503937008,0.212598425,0.11023622,0.307086614,0.42519685
127,0.9921875,0.5,0.2109375,0.1171875,0.3125,0.4265625
128,0.992248062,0.503875969,0.209302326,0.11627907,0.310077519,0.426356589
129,0.992307692,0.5,0.207692308,0.115384615,0.307692308,0.424615385
130,0.992366412,0.503816794,0.20610687,0.114503817,0.305343511,0.424427481
131,0.992424242,0.5,0.204545455,0.113636364,0.303030303,0.422727273
132,0.992481203,0.503759398,0.203007519,0.112781955,0.30075188,0.422556391
133,0.992537313,0.5,0.201492537,0.111940299,0.298507463,0.420895522
134,0.992592593,0.503703704,0.2,0.111111111,0.296296296,0.420740741
135,0.992647059,0.5,0.198529412,0.110294118,0.294117647,0.419117647
136,0.99270073,0.503649635,0.197080292,0.109489051,0.291970803,0.418978102
137,0.992753623,0.5,0.195652174,0.108695652,0.289855072,0.417391304
138,0.992805755,0.503597122,0.194244604,0.107913669,0.287769784,0.417266187
139,0.992857143,0.5,0.192857143,0.107142857,0.285714286,0.415714286
140,0.992907801,0.503546099,0.191489362,0.106382979,0.283687943,0.415602837
141,0.992957746,0.5,0.190140845,0.112676056,0.281690141,0.415492958
142,0.993006993,0.503496503,0.188811189,0.111888112,0.27972028,0.415384615
143,0.993055556,0.5,0.1875,0.111111111,0.284722222,0.415277778
144,0.993103448,0.503448276,0.186206897,0.110344828,0.282758621,0.415172414
145,0.993150685,0.5,0.184931507,0.109589041,0.280821918,0.41369863
146,0.993197279,0.503401361,0.183673469,0.115646259,0.278911565,0.414965986
147,0.993243243,0.5,0.182432432,0.114864865,0.277027027,0.413513514
148,0.993288591,0.503355705,0.181208054,0.11409396,0.275167785,0.413422819
149,0.993333333,0.5,0.18,0.113333333,0.28,0.413333333
150,0.993377483,0.503311258,0.178807947,0.112582781,0.278145695,0.413245033
151,0.993421053,0.5,0.177631579,0.111842105,0.276315789,0.411842105
152,0.993464052,0.503267974,0.176470588,0.111111111,0.274509804,0.411764706
