"","regret","regret","regret","regret","regret"
"name","Deterministic","DeterministicAlternating","EpsilonFirst","EpsilonGreedy","Exp3"
"trial","","","","",""
"0","1.0","1.0","1.0","1.0","1.0"
"1","1.0","0.0","1.0","1.0","1.0"
"2","0.6666666666666666","0.0","1.3333333333333333","0.6666666666666666","1.3333333333333333"
"3","0.5","0.0","1.0","0.5","1.5"
"4","0.4","0.0","1.2","0.4","1.2"
"5","0.3333333333333333","0.0","1.0","0.3333333333333333","1.3333333333333333"
"6","0.2857142857142857","0.0","1.1428571428571428","0.2857142857142857","1.1428571428571428"
"7","0.25","0.0","1.25","0.25","1.25"
"8","0.2222222222222222","0.0","1.1111111111111112","0.2222222222222222","1.1111111111111112"
"9","0.2","0.0","1.2","0.2","1.0"
"10","0.18181818181818182","0.0","1.0909090909090908","0.18181818181818182","0.9090909090909091"
"11","0.16666666666666666","0.0","1.1666666666666667","0.16666666666666666","1.0"
"12","0.15384615384615385","0.0","1.0769230769230769","0.15384615384615385","1.0769230769230769"
"13","0.14285714285714285","0.0","1.0","0.14285714285714285","1.0"
"14","0.13333333333333333","0.0","0.9333333333333333","0.13333333333333333","1.0666666666666667"
"15","0.125","0.0","1.0","0.125","1.125"
"16","0.11764705882352941","0.0","1.0588235294117647","0.11764705882352941","1.0588235294117647"
"17","0.1111111111111111","0.0","1.0","0.1111111111111111","1.1111111111111112"
"18","0.10526315789473684","0.0","0.9473684210526315","0.10526315789473684","1.1578947368421053"
"19","0.1","0.0","1.0","0.1","1.1"
"20","0.09523809523809523","0.0","1.0476190476190477","0.09523809523809523","1.1428571428571428"
"21","0.09090909090909091","0.0","1.0","0.09090909090909091","1.1818181818181819"
"22","0.08695652173913043","0.0","1.0434782608695652","0.08695652173913043","1.2173913043478262"
"23","0.08333333333333333","0.0","1.0","0.08333333333333333","1.1666666666666667"
"24","0.08","0.0","0.96","0.08","1.12"
"25","0.07692307692307693","0.0","0.9230769230769231","0.07692307692307693","1.0769230769230769"
"26","0.07407407407407407","0.0","0.9629629629629629","0.07407407407407407","1.037037037037037"
"27","0.07142857142857142","0.0","1.0","0.07142857142857142","1.0"
"28","0.06896551724137931","0.0","1.0344827586206897","0.06896551724137931","1.0344827586206897"
"29","0.06666666666666667","0.0","1.0666666666666667","0.06666666666666667","1.0"
"30","0.06451612903225806","0.0","1.096774193548387","0.06451612903225806","0.967741935483871"
"31","0.0625","0.0","1.0625","0.0625","0.9375"
"32","0.06060606060606061","0.0","1.0909090909090908","0.06060606060606061","0.9696969696969697"
"33","0.058823529411764705","0.0","1.0588235294117647","0.058823529411764705","0.9411764705882353"
"34","0.05714285714285714","0.0","1.0285714285714285","0.05714285714285714","0.9142857142857143"
"35","0.05555555555555555","0.0","1.0","0.05555555555555555","0.9444444444444444"
"36","0.05405405405405406","0.0","1.027027027027027","0.10810810810810811","0.918918918918919"
"37","0.05263157894736842","0.0","1.0","0.10526315789473684","0.9473684210526315"
"38","0.05128205128205128","0.0","1.0256410256410255","0.10256410256410256","0.9743589743589743"
"39","0.05","0.0","1.05","0.1","0.95"
"40","0.04878048780487805","0.0","1.0731707317073171","0.0975609756097561","0.926829268292683"
"41","0.047619047619047616","0.0","1.0952380952380953","0.09523809523809523","0.9047619047619048"
"42","0.046511627906976744","0.0","1.069767441860465","0.13953488372093023","0.8837209302325582"
"43","0.045454545454545456","0.0","1.0909090909090908","0.18181818181818182","0.8636363636363636"
"44","0.044444444444444446","0.0","1.1111111111111112","0.17777777777777778","0.8888888888888888"
"45","0.043478260869565216","0.0","1.0869565217391304","0.17391304347826086","0.8695652173913043"
"46","0.0425531914893617","0.0","1.1063829787234043","0.2127659574468085","0.851063829787234"
"47","0.041666666666666664","0.0","1.125","0.20833333333333334","0.8333333333333334"
"48","0.04081632653061224","0.0","1.1020408163265305","0.20408163265306123","0.8571428571428571"
